gait number,px,py,pz,vx,vy,vz,ax,ay,az,
13,-0.0150844,-0.050054,0.0115168,-0.352331,-0.70502,0.37916,-0.556711,-0.816148,0.554721,
13,-0.018888,-0.057558,0.0149142,-0.408382,-0.795786,0.45444,-0.537633,-0.911392,0.94852,
13,-0.0232012,-0.0659638,0.0192542,-0.454252,-0.885366,0.567671,-0.349131,-0.791973,1.32843,
13,-0.0278686,-0.0752521,0.0247004,-0.479227,-0.9723,0.675694,-0.111631,-0.857442,0.842348,
13,-0.0329568,-0.0854852,0.0313349,-0.538422,-1.07433,0.805331,-1.04681,-1.09966,1.76909,
13,-0.0388601,-0.0968336,0.0394528,-0.642225,-1.19536,0.972388,-1.02105,-1.24488,1.60522,
13,-0.0457049,-0.109369,0.0489036,-0.726735,-1.31172,1.07188,-0.653487,-1.00457,0.391724,
13,-0.0534587,-0.123071,0.0587008,-0.824038,-1.42877,1.04169,-1.28185,-1.25883,-1.03876,
13,-0.0622223,-0.138075,0.067739,-0.928677,-1.57188,0.920075,-0.803065,-1.53588,-1.47226,
13,-0.0721375,-0.154694,0.0760945,-1.05437,-1.75205,0.905136,-1.71107,-2.01426,1.13617,
13,-0.0833114,-0.173039,0.0842818,-1.18041,-1.91695,0.886441,-0.810117,-1.22466,-1.54885,
13,-0.0954561,-0.192736,0.0916558,-1.24854,-2.0224,0.742497,-0.530491,-0.802328,-1.41732,
13,-0.108165,-0.213334,0.0976571,-1.2932,-2.09714,0.611883,-0.331705,-0.598438,-1.27707,
13,-0.121247,-0.234596,0.102369,-1.32318,-2.15525,0.48468,-0.230982,-0.463351,-1.34781,
13,-0.134597,-0.256415,0.105825,-1.34691,-2.20858,0.36062,-0.204373,-0.501065,-1.21296,
13,-0.148194,-0.278789,0.108095,-1.37237,-2.26615,0.247474,-0.266299,-0.549703,-1.12532,
